SMILES,Source
O=C(O)C(=O)CC(=O)C1(Cc2ccc(Cl)cc2)CCN(S(=O)(=O)c2ccc(Br)cc2)CC1,Preprocessed
CC(C)CN(CC(=O)Nc1nc(CC(=O)NC2CCCCC2)cs1)C(=O)c1ccc(Cl)c(Cl)c1,Preprocessed
CCOC(=O)N1CCc2c(sc(NC(=O)c3ccccc3)c2C(=O)Nc2cc(Cl)ccc2OC)C1,Preprocessed
CCOc1cc(C(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)cc(OCC)c1OCC,Preprocessed
Cc1[nH]n(-c2cccc(Cl)c2)c(=O)c1C=Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,Preprocessed
O=C(COc1ccc(S(=O)(=O)N2CCCC2)cc1)Nc1ccc(Oc2ccccc2)cc1,Preprocessed
O=C(CC(=O)Nc1nccs1)NN=Cc1ccc(N(CCCl)CCCl)cc1,Preprocessed
Cc1occc1-c1nnc(SCC(=O)Nc2nccs2)n1CCc1ccccc1,Preprocessed
Cc1nc(NC(=O)c2cccc(OCC(C)C)c2)ccc1Br,Preprocessed
CCOc1cc(OCC)cc(C(=O)Nc2ccc(Br)c(C)n2)c1,Preprocessed
COc1ccc(C(=O)Nc2cccc(NC(=O)c3ccc(OC)cc3)n2)cc1,Preprocessed
CC(C)C[C@@H](C(=O)Nc1nc2ccccc2s1)N1C(=O)c2ccccc2C1=O,Preprocessed
Cc1ccc(NC(=O)[C@H](Cc2ccccc2)NS(=O)(=O)c2ccc(C)cc2)cc1,Preprocessed
Cc1ccc(S(=O)(=O)N[C@H](c2ccccc2)[C@H](C)C(=O)n2nc(C)cc2C)cc1,Preprocessed
CC(C)CN(CC(=O)Nc1nc(CC(=O)Nc2ccccc2F)cs1)C(=O)c1ccco1,Preprocessed
CCCN(CC(=O)Nc1nc(CC(=O)NC(C)C)cs1)C(=O)c1ccc(Cl)cc1,Preprocessed
CC(C)NCC(O)c1ccc(OCc2ccccc2)c(OCc2ccccc2)c1F,Preprocessed
COc1ccc2nc(NC(=O)c3ccc(COc4ccccc4OC)cc3)sc2c1,Preprocessed
c1ccc(CNC(Cc2ccccc2)c2ccc(OCc3ccccc3)cc2)cc1,Preprocessed
COc1cc(NCCCC(C)Nc2ccnc3cc4ccccc4cc23)c2ncccc2c1,Preprocessed
Cc1ccc(NC(=O)Cc2csc(NC(=O)CN(CC(C)C)C(=O)c3ccc(Cl)c(Cl)c3)n2)cc1,Preprocessed
CC(C)CN(CC(=O)Nc1nc(CC(=O)NC2CCN(Cc3ccccc3)CC2)cs1)C(=O)C1CCCCC1,Preprocessed
COC(=O)CN1C(=O)[C@]2(C(C#N)=C(N)Oc3c2c(C)nn3-c2cccc(Cl)c2)c2ccccc21,Preprocessed
COC(=O)CN1C(=O)[C@@]2(C(C#N)=C(N)Oc3c2c(C)nn3-c2cccc(Cl)c2)c2ccccc21,Preprocessed
COC(=O)Cc1[nH]nc2c1C1(C(=O)N(Cc3ccc(Cl)cc3)c3ccccc31)C(C#N)=C(N)O2,Preprocessed
COc1ccc(CCNC(=O)c2cc(-c3ccc(N([O])=O)cc3)nn2-c2ccccc2Cl)cc1OC,Preprocessed
COc1ccccc1N1CCN(c2ccc(NC(=O)c3ccc(Cl)cc3)cc2C(=O)NC(C)C)CC1,Preprocessed
O=C(COc1ccc(Cl)cc1)N1CCN(C(=O)COc2ccc(Cl)cc2)c2ccccc21,Preprocessed
COc1ccc(N2CCN(C(=O)CSc3ncnc4c3cnn4-c3ccc(OC)cc3)CC2)cc1,Preprocessed
